        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F),                C[i][4] (F),                C[i][5] (F),                C[i][6] (F),                C[i][7] (F),                C[i][8] (F),                C[i][9] (F),               C[i][10] (F),               C[i][11] (F),               C[i][12] (F),               C[i][13] (F),               C[i][14] (F),               C[i][15] (F),               C[i][16] (F),               C[i][17] (F),               C[i][18] (F)
 1.00e+00,        +2.328203875241e-13,        -1.065851637410e-14,        -1.025059077620e-16,        -2.495538403261e-17,        -1.277441433511e-14,        -9.686639512149e-16,        -8.956762383447e-18,        -6.711773559411e-18,        -8.834110211653e-16,        -1.267186406833e-14,        -4.402228804320e-18,        -1.005560174031e-17,        -1.005344193293e-18,        -1.836028935358e-18,        -3.566671748058e-16,        -1.913509205436e-16,        -3.544694894259e-16,        -6.532040003808e-17
 2.00e+00,        -1.065851637410e-14,        +2.509569788260e-13,        -9.834879163698e-17,        -3.211002823477e-17,        -2.982585237706e-16,        -1.267866916417e-16,        -5.837279524038e-18,        -4.250423303111e-18,        -7.171738127790e-16,        -1.234954919623e-15,        -1.678663956805e-17,        -4.059946362969e-17,        -1.214705662121e-18,        -2.013478656219e-18,        -1.913412479998e-16,        -1.284267199081e-16,        -7.151471417390e-16,        -1.937778634939e-16
 3.00e+00,        -1.025059077620e-16,        -9.834879163698e-17,        +2.327766383959e-13,        -1.065869058504e-14,        -1.915868478087e-18,        -1.067028558431e-18,        -1.078182927635e-17,        -4.756621155218e-18,        -1.272757356511e-14,        -9.051370392523e-16,        -6.136857207377e-18,        -8.305032165793e-18,        -9.389643348892e-16,        -1.271240178893e-14,        -3.546326194740e-16,        -7.146246163435e-16,        -3.620669088674e-16,        -1.677984464835e-16
 4.00e+00,        -2.495538403261e-17,        -3.211002823477e-17,        -1.065869058504e-14,        +2.509428759036e-13,        -6.097221320061e-19,        -3.186208825547e-19,        -4.361617192686e-18,        -1.818543320188e-18,        -2.847398016070e-16,        -1.169000077577e-16,        -1.381983942810e-17,        -1.453455797045e-17,        -7.879188977815e-16,        -1.260184655324e-15,        -6.532323862897e-17,        -1.938132455133e-16,        -1.677455952445e-16,        -2.937459998154e-16
 5.00e+00,        -1.277441433511e-14,        -2.982585237706e-16,        -1.915868478087e-18,        -6.097221320061e-19,        +1.681710169790e-13,        -1.020978773635e-14,        -9.482141525462e-19,        -9.847429121560e-19,        -9.519964067580e-18,        -1.777862608628e-17,        -8.286458111406e-19,        -2.151651261251e-18,        -2.558817926661e-20,        -4.509074600025e-20,        -8.958081992442e-18,        -5.837675298130e-18,        -1.078323662852e-17,        -4.361982633541e-18
 6.00e+00,        -9.686639512149e-16,        -1.267866916417e-16,        -1.067028558431e-18,        -3.186208825547e-19,        -1.020978773635e-14,        +1.643945346505e-13,        -9.846860820505e-19,        -1.118981748103e-18,        -4.989449794224e-18,        -1.010172969681e-17,        -3.224038527028e-19,        -8.320880197163e-19,        -1.408454467686e-20,        -2.604246085376e-20,        -6.712087116940e-18,        -4.250522130885e-18,        -4.757001251624e-18,        -1.818610807474e-18
 7.00e+00,        -8.956762383447e-18,        -5.837279524038e-18,        -1.078182927635e-17,        -4.361617192686e-18,        -9.482141525462e-19,        -9.846860820505e-19,        +1.681568812624e-13,        -1.020964652856e-14,        -9.518765537947e-18,        -1.777639365795e-17,        -2.558147876338e-20,        -4.507933737519e-20,        -8.286489786952e-19,        -2.152105195135e-18,        -1.277328892143e-14,        -2.982312691203e-16,        -1.916193602577e-18,        -6.098002904553e-19
 8.00e+00,        -6.711773559411e-18,        -4.250423303111e-18,        -4.756621155218e-18,        -1.818543320188e-18,        -9.847429121560e-19,        -1.118981748103e-18,        -1.020964652856e-14,        +1.643889680223e-13,        -4.989150484732e-18,        -1.010134497287e-17,        -1.408180624391e-20,        -2.603736457390e-20,        -3.224239664841e-19,        -8.323047933275e-19,        -9.680020279815e-16,        -1.267912114348e-16,        -1.067265158045e-18,        -3.186765716160e-19
 9.00e+00,        -8.834110211653e-16,        -7.171738127790e-16,        -1.272757356511e-14,        -2.847398016070e-16,        -9.519964067580e-18,        -4.989449794224e-18,        -9.518765537947e-18,        -4.989150484732e-18,        +1.720369989253e-13,        -9.786093045554e-15,        -9.869723107060e-18,        -1.768510569095e-17,        -9.872302236117e-18,        -1.768839042952e-17,        -8.834666654792e-16,        -7.173351315115e-16,        -1.271787834419e-14,        -2.848547608207e-16
 1.00e+01,        -1.267186406833e-14,        -1.234954919623e-15,        -9.051370392523e-16,        -1.169000077577e-16,        -1.777862608628e-17,        -1.010172969681e-17,        -1.777639365795e-17,        -1.010134497287e-17,        -9.786093045554e-15,        +1.720612240842e-13,        -4.900842418835e-18,        -9.500672625821e-18,        -4.901630174804e-18,        -9.501725443420e-18,        -1.268299679850e-14,        -1.235393225888e-15,        -9.058838516135e-16,        -1.169146435424e-16
 1.10e+01,        -4.402228804320e-18,        -1.678663956805e-17,        -6.136857207377e-18,        -1.381983942810e-17,        -8.286458111406e-19,        -3.224038527028e-19,        -2.558147876338e-20,        -1.408180624391e-20,        -9.869723107060e-18,        -4.900842418835e-18,        +1.643760195308e-13,        -1.020177133689e-14,        -1.048662998557e-18,        -8.987774271741e-19,        -1.005236051466e-18,        -1.214552408542e-18,        -9.390593361170e-16,        -7.878874961300e-16
 1.20e+01,        -1.005560174031e-17,        -4.059946362969e-17,        -8.305032165793e-18,        -1.453455797045e-17,        -2.151651261251e-18,        -8.320880197163e-19,        -4.507933737519e-20,        -2.603736457390e-20,        -1.768510569095e-17,        -9.500672625821e-18,        -1.020177133689e-14,        +1.681621919378e-13,        -8.987118191805e-19,        -8.465908272410e-19,        -1.835852706268e-18,        -2.013269334897e-18,        -1.271707527529e-14,        -1.260103929604e-15
 1.30e+01,        -1.005344193293e-18,        -1.214705662121e-18,        -9.389643348892e-16,        -7.879188977815e-16,        -2.558817926661e-20,        -1.408454467686e-20,        -8.286489786952e-19,        -3.224239664841e-19,        -9.872302236117e-18,        -4.901630174804e-18,        -1.048662998557e-18,        -8.987118191805e-19,        +1.643968583081e-13,        -1.020480907529e-14,        -4.402858455160e-18,        -1.679158189679e-17,        -6.138640799023e-18,        -1.382331176905e-17
 1.40e+01,        -1.836028935358e-18,        -2.013478656219e-18,        -1.271240178893e-14,        -1.260184655324e-15,        -4.509074600025e-20,        -2.604246085376e-20,        -2.152105195135e-18,        -8.323047933275e-19,        -1.768839042952e-17,        -9.501725443420e-18,        -8.987774271741e-19,        -8.465908272410e-19,        -1.020480907529e-14,        +1.681802349496e-13,        -1.005761414735e-17,        -4.061534470895e-17,        -8.307446251995e-18,        -1.453941416878e-17
 1.50e+01,        -3.566671748058e-16,        -1.913412479998e-16,        -3.546326194740e-16,        -6.532323862897e-17,        -8.958081992442e-18,        -6.712087116940e-18,        -1.277328892143e-14,        -9.680020279815e-16,        -8.834666654792e-16,        -1.268299679850e-14,        -1.005236051466e-18,        -1.835852706268e-18,        -4.402858455160e-18,        -1.005761414735e-17,        +2.328228197368e-13,        -1.066452286324e-14,        -1.025746831234e-16,        -2.496353486168e-17
 1.60e+01,        -1.913509205436e-16,        -1.284267199081e-16,        -7.146246163435e-16,        -1.938132455133e-16,        -5.837675298130e-18,        -4.250522130885e-18,        -2.982312691203e-16,        -1.267912114348e-16,        -7.173351315115e-16,        -1.235393225888e-15,        -1.214552408542e-18,        -2.013269334897e-18,        -1.679158189679e-17,        -4.061534470895e-17,        -1.066452286324e-14,        +2.509922344930e-13,        -9.839072011951e-17,        -3.212004801509e-17
