        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F),                C[i][4] (F),                C[i][5] (F),                C[i][6] (F),                C[i][7] (F),                C[i][8] (F),                C[i][9] (F),               C[i][10] (F),               C[i][11] (F),               C[i][12] (F),               C[i][13] (F),               C[i][14] (F),               C[i][15] (F),               C[i][16] (F),               C[i][17] (F),               C[i][18] (F),               C[i][19] (F),               C[i][20] (F),               C[i][21] (F),               C[i][22] (F),               C[i][23] (F),               C[i][24] (F),               C[i][25] (F),               C[i][26] (F),               C[i][27] (F),               C[i][28] (F),               C[i][29] (F),               C[i][30] (F),               C[i][31] (F),               C[i][32] (F),               C[i][33] (F),               C[i][34] (F),               C[i][35] (F),               C[i][36] (F),               C[i][37] (F),               C[i][38] (F),               C[i][39] (F),               C[i][40] (F),               C[i][41] (F),               C[i][42] (F)
 1.00e+00,        +2.328812402121e-13,        -1.061778636992e-14,        -1.418364102812e-17,        -7.720322122594e-18,        -3.819089325099e-20,        -2.066527011306e-20,        -9.330243704438e-17,        -2.213107652569e-17,        -2.565589950775e-18,        -8.360589833277e-19,        -1.302787730882e-20,        -5.149928524576e-21,        -1.269263489979e-14,        -9.217941618990e-16,        -5.157388930800e-18,        -7.218323037423e-18,        -1.421136096295e-20,        -2.027104872385e-20,        -8.663077302769e-16,        -1.267487158767e-14,        -4.020298383833e-18,        -9.324748293780e-18,        -1.429570760441e-20,        -2.963190839476e-20,        -6.866531599013e-19,        -1.174328362709e-18,        -1.016925187332e-19,        -2.457763496073e-19,        -1.331815783797e-21,        -3.063427740715e-21,        -3.528377123332e-16,        -1.636216002913e-16,        -9.331950625728e-19,        -4.218330994332e-19,        -3.495067027559e-16,        -6.397254406388e-17,        -1.038604712181e-18,        -2.818990251733e-19,        -9.498888511184e-19,        -4.098257492396e-19,        -4.471829429091e-20,        -1.264980660992e-20
 2.00e+00,        -1.061778636992e-14,        +2.509877502766e-13,        -5.175210648291e-17,        -3.054388483441e-17,        -1.355431986711e-19,        -7.535734831118e-20,        -9.177641440541e-17,        -3.004519227942e-17,        -8.425069286777e-18,        -2.498818757581e-18,        -4.794554885049e-20,        -1.844598890146e-20,        -2.738754341638e-16,        -1.115271663043e-16,        -1.209836775889e-17,        -1.363123841386e-17,        -4.426521036179e-20,        -5.997035466030e-20,        -7.057956929083e-16,        -1.224376885620e-15,        -1.561513224038e-17,        -3.816343454692e-17,        -5.474012161984e-20,        -1.140669221600e-19,        -9.281225732879e-19,        -1.474053545029e-18,        -2.410334879467e-19,        -5.728056624071e-19,        -4.273370985605e-21,        -9.917621194380e-21,        -1.635826272935e-16,        -2.914892391747e-16,        -2.304336791162e-18,        -1.272225282366e-18,        -7.116473144948e-16,        -1.928290593291e-16,        -4.143660018407e-18,        -1.084259327766e-18,        -1.595383821277e-18,        -7.495516566727e-19,        -1.203800367376e-19,        -3.581108075093e-20
 3.00e+00,        -1.418364102812e-17,        -5.175210648291e-17,        +2.327803020888e-13,        -1.065849447432e-14,        -1.435103576019e-17,        -7.714996195925e-18,        -2.688223537223e-18,        -3.392048244583e-18,        -1.025018546050e-16,        -2.494703058012e-17,        -2.613748315940e-18,        -8.341972122105e-19,        -9.489600570146e-18,        -3.971857928064e-18,        -1.270565859267e-14,        -9.099301536427e-16,        -5.319711430452e-18,        -7.316122000940e-18,        -8.450666502999e-18,        -5.808684049125e-18,        -8.832075790016e-16,        -1.266703332112e-14,        -4.192173838306e-18,        -9.464538800878e-18,        -1.664993240323e-19,        -1.769328410706e-19,        -9.453034961226e-19,        -1.759267118522e-18,        -1.088580226328e-19,        -2.556843810992e-19,        -3.495862222414e-16,        -7.115922003851e-16,        -3.573315519356e-16,        -1.656957842022e-16,        -3.562200374727e-16,        -1.910823691874e-16,        -3.544549837070e-16,        -6.527034585877e-17,        -1.100568735710e-18,        -6.867485077569e-19,        -1.082527926738e-18,        -4.495765873084e-19
 4.00e+00,        -7.720322122594e-18,        -3.054388483441e-17,        -1.065849447432e-14,        +2.509504867946e-13,        -5.175975211733e-17,        -3.019353365951e-17,        -1.830633624794e-18,        -2.456932888919e-18,        -9.833862829779e-17,        -3.210398043015e-17,        -8.428375999710e-18,        -2.430955683255e-18,        -3.878288928613e-18,        -1.573793361106e-18,        -2.834298894257e-16,        -1.172833804666e-16,        -1.233208968066e-17,        -1.366704932380e-17,        -5.527897812392e-18,        -3.709502554542e-18,        -7.171145246796e-16,        -1.234708142568e-15,        -1.607235895864e-17,        -3.822490466485e-17,        -1.291203764438e-19,        -1.326639131415e-19,        -1.135983662321e-18,        -1.936400687870e-18,        -2.488669719853e-19,        -5.758565378132e-19,        -6.396947316216e-17,        -1.928270702774e-16,        -1.654483903502e-16,        -2.924682700684e-16,        -1.911611251172e-16,        -1.283275637816e-16,        -7.141829255442e-16,        -1.936665378276e-16,        -1.005075334025e-18,        -6.385618755114e-19,        -1.695109973302e-18,        -7.785396807997e-19
 5.00e+00,        -3.819089325099e-20,        -1.355431986711e-19,        -1.435103576019e-17,        -5.175975211733e-17,        +2.328292390560e-13,        -1.061817643075e-14,        -1.350458631405e-20,        -2.805606128306e-20,        -2.736842926987e-18,        -3.397686587791e-18,        -1.009861082461e-16,        -2.204713000943e-17,        -2.642969837161e-20,        -1.133077438048e-20,        -9.535528747993e-18,        -3.954321576159e-18,        -1.276371569695e-14,        -9.100242581102e-16,        -2.881098092966e-20,        -1.796834057253e-20,        -8.495039195868e-18,        -5.821266659588e-18,        -9.234090595478e-16,        -1.265238865440e-14,        -2.471471207721e-21,        -2.033063561866e-21,        -1.694760434841e-19,        -1.834674407436e-19,        -8.451319377843e-19,        -1.604244478277e-18,        -9.499339180527e-19,        -1.595441998748e-18,        -3.491452191985e-16,        -7.104298224776e-16,        -1.101041036562e-18,        -1.005085579613e-18,        -3.553188806314e-16,        -1.905889378643e-16,        -4.698316092596e-20,        -3.310196418197e-20,        -1.064468525376e-18,        -6.603666095642e-19
 6.00e+00,        -2.066527011306e-20,        -7.535734831118e-20,        -7.714996195925e-18,        -3.019353365951e-17,        -1.061817643075e-14,        +2.511568464312e-13,        -8.521163854984e-21,        -1.830697070818e-20,        -1.828832696803e-18,        -2.397006908307e-18,        -9.183215542868e-17,        -2.451892929213e-17,        -1.285156176021e-20,        -5.448221208597e-21,        -3.841298908309e-18,        -1.545253034771e-18,        -2.761093829991e-16,        -1.108300306859e-16,        -1.739280254945e-20,        -1.061553472189e-20,        -5.479535099077e-18,        -3.666246265164e-18,        -7.519826913849e-16,        -1.219460891273e-15,        -1.667366396525e-21,        -1.354097154933e-21,        -1.261486861718e-19,        -1.326638237661e-19,        -8.535353242291e-19,        -1.549760256802e-18,        -4.099174905830e-19,        -7.497187615585e-19,        -6.196891830006e-17,        -1.888820201176e-16,        -6.871197383843e-19,        -6.386262492845e-19,        -1.878400509961e-16,        -1.254942249445e-16,        -3.310328443263e-20,        -2.350787956175e-20,        -8.998086521496e-19,        -5.652828404138e-19
 7.00e+00,        -9.330243704438e-17,        -9.177641440541e-17,        -2.688223537223e-18,        -1.830633624794e-18,        -1.350458631405e-20,        -8.521163854984e-21,        +2.328489591305e-13,        -1.061761250340e-14,        -1.428116543671e-17,        -7.733137246439e-18,        -3.934296729076e-20,        -2.081718358974e-20,        -1.336868548729e-18,        -6.170732131061e-19,        -1.845391659776e-19,        -1.596373136645e-19,        -1.989637291654e-21,        -2.207401306313e-21,        -1.269237649552e-14,        -9.157266307109e-16,        -5.489490499914e-18,        -7.914803091523e-18,        -1.722152183152e-20,        -2.684333249615e-20,        -8.784365883836e-16,        -1.266326149889e-14,        -4.072742691038e-18,        -9.203358280402e-18,        -1.324310154372e-20,        -2.779426911909e-20,        -9.332234918592e-19,        -2.304352705087e-18,        -4.561538398638e-20,        -4.308309695855e-20,        -3.574994510544e-16,        -1.654509752018e-16,        -1.065121149451e-18,        -4.586633901103e-19,        -3.489808068965e-16,        -6.195716285780e-17,        -1.002699374636e-18,        -2.439776705554e-19
 8.00e+00,        -2.213107652569e-17,        -3.004519227942e-17,        -3.392048244583e-18,        -2.456932888919e-18,        -2.805606128306e-20,        -1.830697070818e-20,        -1.061761250340e-14,        +2.509729467713e-13,        -5.177134914126e-17,        -3.051746392562e-17,        -1.361314129161e-19,        -7.482306549871e-20,        -4.474052748193e-19,        -1.986924429140e-19,        -1.454074869934e-19,        -1.107420982688e-19,        -2.957623632010e-21,        -2.976878815674e-21,        -2.748992266396e-16,        -1.107533892540e-16,        -1.237388799555e-17,        -1.407140303673e-17,        -4.905200432093e-20,        -7.024314325665e-20,        -7.164483450296e-16,        -1.224838639555e-15,        -1.600997058615e-17,        -3.789756075823e-17,        -5.156896136698e-20,        -1.079191749773e-19,        -4.218050132101e-19,        -1.272022822132e-18,        -4.307877457980e-20,        -5.351947223972e-20,        -1.657181248994e-16,        -2.924898397317e-16,        -2.448369019800e-18,        -1.315958033345e-18,        -7.106799541804e-16,        -1.888689387122e-16,        -4.048269746534e-18,        -9.665573759621e-19
 9.00e+00,        -2.565589950775e-18,        -8.425069286777e-18,        -1.025018546050e-16,        -9.833862829779e-17,        -2.736842926987e-18,        -1.828832696803e-18,        -1.428116543671e-17,        -5.177134914126e-17,        +2.327853996981e-13,        -1.065698457367e-14,        -1.445371479349e-17,        -7.726358202405e-18,        -2.596417415593e-19,        -1.035886618524e-19,        -1.817645338810e-18,        -9.619613941290e-19,        -1.934457145807e-19,        -1.664457139923e-19,        -1.006736849097e-17,        -4.368965427135e-18,        -1.271303037122e-14,        -9.053037827601e-16,        -5.676782942405e-18,        -8.036997748206e-18,        -8.453032262473e-18,        -5.733958290161e-18,        -8.962122055916e-16,        -1.267950863090e-14,        -4.239834920618e-18,        -9.339348701131e-18,        -1.038698035511e-18,        -4.143423129225e-18,        -1.065196678793e-18,        -2.448623699246e-18,        -3.547187232756e-16,        -7.145541826093e-16,        -3.620694823792e-16,        -1.676833533995e-16,        -3.554561616735e-16,        -1.878132833807e-16,        -3.534908276994e-16,        -6.314053415589e-17
 1.00e+01,        -8.360589833277e-19,        -2.498818757581e-18,        -2.494703058012e-17,        -3.210398043015e-17,        -3.397686587791e-18,        -2.397006908307e-18,        -7.733137246439e-18,        -3.051746392562e-17,        -1.065698457367e-14,        +2.509575006026e-13,        -5.179456154789e-17,        -3.016649944191e-17,        -7.055173580770e-20,        -2.833665206707e-20,        -5.758619443762e-19,        -2.885369463950e-19,        -1.476272144486e-19,        -1.118730639677e-19,        -4.035859134936e-18,        -1.673174031506e-18,        -2.847328375173e-16,        -1.168882492676e-16,        -1.263041465000e-17,        -1.411785796019e-17,        -5.505296735203e-18,        -3.649796758744e-18,        -7.284608738962e-16,        -1.234610756482e-15,        -1.646253615483e-17,        -3.796632066848e-17,        -2.818969113376e-19,        -1.084100759499e-18,        -4.587084659744e-19,        -1.316140410330e-18,        -6.529103780281e-17,        -1.936817877435e-16,        -1.676830543808e-16,        -2.934776592711e-16,        -1.905373257443e-16,        -1.254633714639e-16,        -7.130478207228e-16,        -1.896103773463e-16
